preprocessed_text,length,word_count,sentence_count,unique_words_count,average_word_length,target
go jurong point crazi avail bugi n great world la e buffet cine got amor wat ,77,16,1,16,4.8125,0
ok lar joke wif u oni ,22,6,1,6,3.6666666666666665,0
free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli over,104,22,1,20,4.7272727272727275,1
u dun say earli hor u c alreadi say ,36,9,1,7,4.0,0
nah think goe usf live around though,36,7,1,7,5.142857142857143,0
freemsg hey darl week word back would like fun still tb ok xxx std chg send rcv,79,17,1,17,4.647058823529412,1
even brother like speak treat like aid patent,45,8,1,7,5.625,0
per request amel mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,104,15,1,14,6.933333333333334,0
winner valu network custom select receivea prize reward claim call claim code kl valid hour,91,15,1,14,6.066666666666666,1
mobil month u r entitl updat latest colour mobil camera free call mobil updat co free ,86,16,1,12,5.375,1
gon na home soon want talk stuff anymor tonight k cri enough today,66,13,1,13,5.076923076923077,0
six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info,78,16,1,16,4.875,1
urgent week free membership prize jackpot txt word claim c lccltd pobox ldnwarw,79,13,1,13,6.076923076923077,1
search right word thank breather promis wont take help grant fulfil promis wonder bless time,92,15,1,14,6.133333333333334,0
date sunday,11,2,1,2,5.5,0
xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcom nqjkgighjjgcbl,103,12,1,11,8.583333333333334,1
oh k watch,10,3,1,3,3.3333333333333335,0
eh u rememb spell name ye v naughti make v wet,46,11,1,10,4.181818181818182,0
fine that way u feel that way gota b,36,9,1,7,4.0,0
england v macedonia dont miss goalsteam news txt ur nation team eg england tri wale scotland txt poboxoxwwq ,108,18,1,16,6.0,1
serious spell name,18,3,1,3,6.0,0
im go tri month ha ha joke,26,7,1,6,3.7142857142857144,0
 pay first lar da stock comin ,30,6,1,6,5.0,0
aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,66,14,1,11,4.714285714285714,0
ffffffffff alright way meet sooner,34,5,1,5,6.8,0
forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,77,15,1,15,5.133333333333334,0
lol alway convinc,17,3,1,3,5.666666666666667,0
catch bu fri egg make tea eat mom left dinner feel love,55,12,1,12,4.583333333333333,0
back amp pack car let know room,31,7,1,7,4.428571428571429,0
ahhh work vagu rememb feel like lol,35,7,1,7,5.0,0
wait still clear sure sarcast x want live us,44,9,1,9,4.888888888888889,0
yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer,83,16,1,15,5.1875,0
k tell anyth,12,3,1,3,4.0,0
fear faint housework quick cuppa,32,5,1,5,6.4,0
thank subscript rington uk mobil charg month pleas confirm repli ye repli charg,79,13,1,11,6.076923076923077,1
yup ok go home look time msg xuhui go learn nd may lesson am,60,14,1,13,4.285714285714286,0
oop let know roommat done,25,5,1,5,5.0,0
see letter b car,16,4,1,4,4.0,0
anyth lor u decid ,18,4,1,4,4.5,0
hello saturday go text see would decid anyth tomo tri invit anyth,65,12,1,11,5.416666666666667,0
pl go ahead watt want sure great weekend abiola,47,9,1,9,5.222222222222222,0
forget tell want need crave love sweet arabian steed mmmmmm yummi,65,11,1,11,5.909090909090909,0
 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,93,16,1,14,5.8125,1
see,3,1,1,1,3.0,0
great hope like man well endow lt gt inch ,42,9,1,9,4.666666666666667,0
call messag miss call,21,4,1,3,5.25,0
get hep b immunis nigeria,25,5,1,5,5.0,0
fair enough anyth go,20,4,1,4,5.0,0
yeah hope tyler could mayb ask around bit,41,8,1,8,5.125,0
u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,81,15,1,12,5.4,0
think first time saw class,26,5,1,5,5.2,0
gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,87,17,1,14,5.117647058823529,0
k fyi x ride earli tomorrow morn crash place tonight,52,10,1,10,5.2,0
wow never realiz embarass accomod thought like sinc best could alway seem happi the cave sorri give sorri offer sorri room embarass ,132,22,1,19,6.0,0
sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,97,18,1,16,5.388888888888889,1
know mallika sherawat yesterday find lt url gt,46,8,1,8,5.75,0
congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss,92,17,1,17,5.411764705882353,1
sorri call later meet,21,4,1,4,5.25,0
tell reach,10,2,1,2,5.0,0
ye gauti sehwag odi seri,24,5,1,5,4.8,0
gon na pick burger way home even move pain kill,47,10,1,10,4.7,0
ha ha ha good joke girl situat seeker,37,8,1,6,4.625,0
part check iq,13,3,1,3,4.333333333333333,0
sorri roommat took forev ok come,32,6,1,6,5.333333333333333,0
ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,86,18,1,16,4.777777777777778,0
valu custom pleas advis follow recent review mob award bonu prize call ,71,12,1,12,5.916666666666667,1
today song dedic day song u dedic send ur valuabl frnd first rpli ,66,13,1,11,5.076923076923077,0
urgent ur award complimentari trip eurodisinc trav aco entri claim txt di morefrmmob shracomorsglsuplt ls aj,108,16,1,16,6.75,1
hear new divorc barbi come ken stuff ,37,7,1,7,5.285714285714286,1
plane give month end,20,4,1,4,5.0,0
wah lucki man save money hee ,29,6,1,6,4.833333333333333,0
finish class,12,2,1,2,6.0,0
hi babe im home wan na someth xx,32,8,1,8,4.0,0
k k perform,11,3,1,2,3.6666666666666665,0
u call ,7,2,1,2,3.5,0
wait machan call free,21,4,1,4,5.25,0
that cool gentleman treat digniti respect,41,6,1,6,6.833333333333333,0
like peopl much shi pa,22,5,1,5,4.4,0
oper lt gt,10,3,1,3,3.3333333333333335,0
still look job much ta earn,27,6,1,6,4.5,0
sorri call later,16,3,1,3,5.333333333333333,0
k call ah,9,3,1,3,3.0,0
ok way home hi hi,17,5,1,4,3.4,0
place man,9,2,1,2,4.5,0
yup next stop,13,3,1,3,4.333333333333333,0
call later network urgnt sm,27,5,1,5,5.4,0
real u get yo need ticket one jacket done alreadi use multi,59,12,1,12,4.916666666666667,0
ye start send request make pain came back back bed doubl coin factori got ta cash nitro,87,17,1,16,5.117647058823529,0
realli still tonight babe,25,4,1,4,6.25,0
ela kano il download come wen ur free ,38,8,1,8,4.75,0
yeah dont stand close tho youll catch someth,44,8,1,8,5.5,0
sorri pain ok meet anoth night spent late afternoon casualti mean done stuffmoro includ time sheet sorri,104,17,1,16,6.117647058823529,0
smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile,111,21,1,15,5.285714285714286,0
pleas call custom servic repres ampm guarante cash prize,56,9,1,9,6.222222222222222,1
havent plan buy later check alreadi lido got show e afternoon u finish work alreadi,83,15,1,14,5.533333333333333,0
free rington wait collect simpli text password mix verifi get usher britney fml,79,13,1,13,6.076923076923077,1
watch telugu movi wat abt u,27,6,1,6,4.5,0
see finish load loan pay,24,5,1,5,4.8,0
hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham ,104,21,1,21,4.9523809523809526,0
pleas text anymor noth els say,30,6,1,6,5.0,0
okay name ur price long legal wen pick u ave x am xx,52,13,1,13,4.0,0
still look car buy gone the drive test yet,42,9,1,9,4.666666666666667,0
wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,105,19,1,17,5.526315789473684,0
umma life vava umma love lot dear,33,7,1,6,4.714285714285714,0
thank lot wish birthday thank make birthday truli memor,55,9,1,7,6.111111111111111,0
aight hit get cash,18,4,1,4,4.5,0
would ip address test consid comput minecraft server,52,8,1,8,6.5,0
know grumpi old peopl mom like better lie alway one play joke ,62,12,1,12,5.166666666666667,0
